transaction_id,user_id,merchant_id,amount,timestamp,location,payment_method,device_id,is_fraud
tx_0,user_367,merchant_281,1610.33,2024-01-01 00:00:00,Mumbai,wallet,device_1111,0
tx_1,user_786,merchant_248,1780.56,2024-01-01 00:03:00,Bangalore,upi,device_2379,0
tx_2,user_249,merchant_239,1104.07,2024-01-01 00:10:00,Delhi,wallet,device_503,0
tx_3,user_516,merchant_58,414.72,2024-01-01 00:17:00,Delhi,debit_card,device_1814,0
tx_4,user_401,merchant_82,139.68,2024-01-01 00:23:00,Delhi,upi,device_2268,0
tx_5,user_100,merchant_91,1676.16,2024-01-01 00:26:00,Bangalore,debit_card,device_229,0
tx_6,user_143,merchant_137,991.4,2024-01-01 00:27:00,Bangalore,credit_card,device_2266,0
tx_7,user_230,merchant_109,1653.3,2024-01-01 00:29:00,Mumbai,credit_card,device_507,0
tx_8,user_368,merchant_150,635.48,2024-01-01 00:37:00,Mumbai,debit_card,device_2170,0
tx_9,user_506,merchant_137,567.49,2024-01-01 00:44:00,Hyderabad,wallet,device_843,0
tx_10,user_863,merchant_220,131.66,2024-01-01 00:50:00,Mumbai,debit_card,device_231,0
tx_11,user_143,merchant_241,136.84,2024-01-01 00:52:00,Mumbai,credit_card,device_2767,0
tx_12,user_69,merchant_223,380.64,2024-01-01 00:53:00,Chennai,wallet,device_874,0
tx_13,user_70,merchant_84,1672.42,2024-01-01 00:55:00,Hyderabad,debit_card,device_2199,0
tx_14,user_742,merchant_270,1437.13,2024-01-01 00:58:00,Bangalore,upi,device_2556,0
tx_15,user_628,merchant_265,278.65,2024-01-01 01:04:00,Hyderabad,upi,device_137,0
tx_16,user_617,merchant_116,162.56,2024-01-01 01:06:00,Chennai,credit_card,device_770,0
tx_17,user_30,merchant_287,50.0,2024-01-01 01:09:00,Chennai,credit_card,device_1713,0
tx_18,user_322,merchant_102,435.51,2024-01-01 01:13:00,Chennai,debit_card,device_73,0
tx_19,user_526,merchant_248,3072.22,2024-01-01 01:18:00,Hyderabad,debit_card,device_992,0
tx_20,user_153,merchant_157,2146.71,2024-01-01 01:25:00,Mumbai,upi,device_286,0
